pol,mode_q,pole_real_n,pole_real_s,pole_imag_n,pole_imag_s,residue_real_n,residue_real_s,residue_imag_n,residue_imag_s
x,26,-1148470.757015371,68997.49490308033,570746425215.9015,72418.02065052243,6.3854605364328245,9.48329202955855,95.20587136632962,9.280008640813035
x,27,-143025.38620496046,2800.511663362421,592283227164.0107,2788.8147138630443,-38.514709463723335,0.5709535396600502,-2.6746220898308857,0.5649280014870994
x,28,-28383.868635128827,1375.5896868524705,613817864891.9436,1375.868908066546,-2.759889435176597,0.16504649717903727,3.9172886238881897,0.16572154975457126
x,29,-15959.297736004339,561.7194897331967,635351941648.0276,562.0700550675343,-1.3135286071347712,0.15678367242183788,6.111857115126189,0.15644420723704613
x,30,-10963.29183880619,697.2099552705056,656885789945.5255,697.2086713666724,-0.36978165974054134,0.0475349740814421,-0.9849459558860093,0.04753523530903756
x,31,-7498.626197643785,440.36118755661295,678419497518.14,439.84844938615015,0.0831332777705579,0.072372771437422,1.7387494398880947,0.07254197433076834
y,26,-890812.4146723131,33554.23754919394,570748875274.4481,33166.364632134784,86.25939928473497,5.644165261944066,56.154715503677586,5.101281219872248
y,27,-139716.67598372293,3468.1258617707595,592286048403.2327,3486.656599751533,-23.884339339253945,0.5569958182118899,-17.296541373410136,0.5508422670483399
y,28,-43341.42277032661,2564.4350340152446,613820649136.445,2555.9209728892556,-3.597329734275785,0.20565938152418856,-3.289852009306086,0.20580120175057318
y,29,-13887.224485319812,659.5189983068618,635354646523.1014,659.1013814946523,2.35576744610861,0.13771117844067932,-3.3573378242978293,0.13809728312102273
y,30,-7343.196757355916,396.92316414538897,656888422132.8595,396.92240254574193,0.8109762059532989,0.038634163370612686,0.6053391801009668,0.03863408291467565
y,31,-3571.3351141780718,542.1563399492901,678422052440.4216,541.9899957176257,-0.43410792522895947,0.05243918738540607,0.1585175405126936,0.05241306167124307
