stage_pos,mode_q,pol,pole_real_n,pole_real_s,pole_imag_n,pole_imag_s,residue_real_n,residue_real_s,residue_imag_n,residue_imag_s
-3.75,20,x,-9407.772398141424,966.509855312627,424699437192.3026,900.5288490010216,0.595220013926293,0.0775834534388658,-0.7310634465819987,0.08287619049943439
-3.75,20,y,-6351.919320835651,279.0236297415328,424703407416.0492,269.28125213937614,0.8335915558222089,0.04513531452446509,-1.0690768630665903,0.049046287832133065
-3.75,21,x,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.75,21,y,-3783.974414284266,117.19173754429671,445403643261.1159,124.09055992533497,0.19493703906885476,0.005154937645757268,0.06922407070024161,0.005728157146286061
-3.75,22,x,-2346.224802032148,17.79197541820981,466100029583.6885,17.791993142678265,-0.34736139136296745,0.002058526294741436,0.031020412147686076,0.002058530416710713
-3.75,22,y,-2549.0426929795462,63.368205242657446,466103639919.1762,63.368204886591656,-0.0880095591780845,0.002077438818074821,-0.06382253511989099,0.002077438071888595
-3.75,23,x,-2121.8873150894215,43.0628148350884,486799975746.36975,43.88469770315596,-0.08516749536055675,0.003210679242158206,0.17119804553069,0.0029614504237237137
-3.75,23,y,-2005.1964384447342,68.52191198501824,486803430836.2376,68.52178414476538,0.04401473989866497,0.003306094413335777,0.11807392964732064,0.0033060987566039183
-3.75,24,x,-1868.1881935940041,55.73081660086617,507499728488.83344,57.506126831121776,-0.02474217263881625,0.001860523802866256,-0.07378868803582364,0.0018103241585171442
-3.75,24,y,-14428.912171607026,9907.515016936475,507502938691.83655,9907.51356584658,-0.801503078283377,0.25788093628878783,0.7603097262308395,0.2578809982897022
-3.75,25,x,-2324.0150677229485,77.4646183960437,528199310275.2246,77.4646929256525,-0.06663686115451542,0.0019485863263572019,-0.034768412025120495,0.00194859288889973
-3.75,25,y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.75,26,x,-282475.85809083906,313147.3580690047,548898536927.596,134876.22333737157,-10.273713113606563,242.9497347687144,-72.4860956021648,141.5942442906807
-3.75,26,y,-11336.827370150666,830.425387554526,548901802745.30676,830.4260174449923,-0.2138605435048422,0.017855951287561157,0.0648212587237505,0.017855979500131576
-3.75,27,x,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.75,27,y,-11881.642304892468,904.0401770295217,569601014680.9634,904.0401687098777,0.3370478457561428,0.02539941280267479,-0.1149986643255654,0.025399411917671633
-3.75,28,x,-4487.805692980366,464.70246862938717,590297221600.2759,464.70215371840027,0.02321033771168987,0.0029811017537773746,-0.024722501351338192,0.0029810978728240876
-3.75,28,y,-2009.1274776907762,37665.09439932155,590300182499.4619,46319.76189686686,1.5841053556237232,1.5625161502919405,2.6520768390995806,6.7545302293176865
-3.75,29,x,-189668.02198739172,105744.55900114142,610995904391.8657,105744.48871885503,-34.4655983768472,69.34170210110223,-137.38608466955012,69.34164921920426
-3.75,29,y,-5506.705435688353,688.9850426646582,610999043828.4596,798.312261725491,9.245858392563927e-05,0.0038250304293521624,-0.023044827659551997,0.0029218949933642125
-3.75,30,x,-9.311499488997212,15294.48621324909,631695229409.963,15294.590812470517,-0.0019986341347030786,0.043268326326910654,-0.016352246934991176,0.043268767032464274
-3.75,30,y,-21827.57318103954,29933.506386921443,631697945901.4489,53397.766432320655,0.003763670535546984,0.15987900844035985,0.027489896853795204,0.09538072218543257
-3.75,31,x,-12571.413522790614,1342.7700252209734,652394182732.6765,1342.7694181217753,-0.010035736137072206,0.009327047926699,0.061236238194965924,0.009327172263376749
-3.75,31,y,-1585.2427759965149,1308.9009566026805,652396712474.9055,1308.904998732312,-0.007625758826594409,0.025017358865988146,-0.11061519683145561,0.025017484207794795
-3.75,32,x,-3801.175441997093,1569.3608226838244,673092970040.1478,1409.1370708116494,0.0018067246013572322,0.014987190482494023,0.0413288919765365,0.017660990682418064
-3.75,32,y,-2519.959889731658,23185.28022377598,673095404558.5311,39327.07894931126,-3.676546384464981,6.1277398921818795,3.913415933915442,16.255010092240166
-3.75,33,x,-318.9766254603932,18517.121191125265,693791766576.8505,18517.11935335084,0.0160024672623183,0.19085306592458331,0.35191578997583434,0.190853038093164
-3.75,33,y,-49009.15579638853,19492.308409988225,693794227988.8475,19492.30910542273,-0.5731406239663989,0.2829592193286359,-0.194822698693643,0.2829591675694275
-3.75,34,x,-43351.119581044026,4818.304457653667,714490372446.0095,4818.304151538563,0.5073684392222108,0.09282538517717484,-0.06936051732983475,0.09282537746559848
-3.75,34,y,-14065.093126699,1112.1624097600954,714492702795.7361,1112.1624001228624,-0.11384023527263376,0.016224639936353497,-0.13936182595603047,0.016224640480109614
-3.0,20,x,-10577.506166512783,1255.1018188106978,424699443917.79297,1241.2621497417442,-0.16853085940518203,0.07305837061331831,-0.7194876142268798,0.07985281167709594
-3.0,20,y,-8165.217597474166,664.4689408946002,424703412079.7694,714.3689492435303,0.0778260093554172,0.055965795258981245,-0.6799807899726348,0.050460916917060755
-3.0,21,x,-3629.737851147691,40.856139972028586,445399866401.0013,40.856139882149094,0.059465010699122155,0.004634407392961506,0.5427983249316761,0.004634407397043566
-3.0,21,y,-3917.874962751691,220.4623847106752,445403647031.0963,220.46277536055658,-0.10790306451858646,0.005296725739209445,0.045506291974501734,0.005296769019612341
-3.0,22,x,-2622.461072882122,24.53815704583155,466100034302.29144,24.538157691655815,-0.2038000823827231,0.002248875909713033,-0.22735498976895951,0.002248886067172421
-3.0,22,y,-2275.0182886384873,103.1342276145134,466103645389.34686,106.86287258331907,-0.11552638327223207,0.004023090355813838,0.013980958303500554,0.0043100381783974465
-3.0,23,x,-2183.3435949585046,36.754753096095556,486799980774.99646,36.75474891226004,0.14002785396445508,0.0030537555687063797,0.18822155508362065,0.003053758554580074
-3.0,23,y,-1970.2319514773337,39.94565967865803,486803435880.67847,39.94563409994009,0.13044434929463822,0.002203170451458052,-0.05550104911328566,0.0022031699422516314
-3.0,24,x,-2790.3822555546644,147.3906104992745,507499733580.7229,147.39061075726656,0.06136876294401645,0.0024721736326670032,-0.010310075728474841,0.0024721736328776655
-3.0,24,y,-1779.315545689862,171.7739230516229,507503047122.86414,171.773923548536,0.018699510951385123,0.0014180192657217876,0.007017585743010565,0.0014180192663017653
-3.0,25,x,-2261.825500609742,84.76409858101567,528199314953.9512,84.76405066487803,0.022122074097811407,0.001657126241381055,-0.052522914798061655,0.001657128767729663
-3.0,25,y,-246707.6521687923,2585445.718121974,528203276012.6795,2585466.1484490084,561.1435255987913,5592.305504528149,-245.86391136513785,5592.25665549512
-3.0,26,x,-9255.00251886186,928.6204978922832,548898732448.3914,928.6204950908322,0.1140445469707456,0.010353670033373397,-0.04672766497782861,0.010353670260612957
-3.0,26,y,-1443.204709785352,7823.629391551317,548901701647.13806,7823.6298218374395,-0.9434142997586017,0.21502617811924166,0.06416918791631576,0.21502615601013456
-3.0,27,x,-118526.17496016897,451422.347604586,569598271829.0621,416701.10470200307,169.52332261450385,643.3005980262087,-107.07101792859848,1780.7718187344744
-3.0,27,y,-7292.231960803616,1076.4607996748164,569600937869.4299,1076.4608108657987,-0.061968845779626136,0.02359256617515834,-0.11846031179514044,0.023592562860202015
-3.0,28,x,-7606.307797493157,23991.517237083586,590297114264.1287,62759.99510424989,0.9510044138263971,3.0180860373694687,-0.02590824550042263,1.1604434551333207
-3.0,28,y,-14556.229804842385,2025.00991358098,590300073337.4666,2025.0099357042823,-0.066917197897723,0.009422564208528746,-0.01757731048215981,0.009422564647296528
-3.0,29,x,-707.6876193382876,4322.393282882831,610996429275.5042,4322.379772145619,0.02846115298815567,0.046978708782931665,-0.14012093397318376,0.046979637963159765
-3.0,29,y,-23953.291355122386,260386.6760957905,610999407767.4221,95687.06368686311,13.624840759458717,129.14379657310923,-44.85169427150619,75.78437919047227
-3.0,30,x,-48712.45416615003,182527.98939620817,631695523512.8273,332679.4306605801,36.52858517247607,152.06127168663977,40.09299107487369,296.8885493348258
-3.0,30,y,-31905.992162488703,12926.757318498238,631697997983.2615,11722.829615232737,2.307276082419398,2.6489076701969316,-2.993201681859932,2.6260048334754025
-3.0,31,x,-29154.028317497032,21086.457647196872,652394083459.8864,21086.467668968835,-1.1453733601633378,1.3440341292906253,-0.8892250925050514,1.3440087673238827
-3.0,31,y,-12088.371458942464,1116.5751611673597,652396719995.1831,1116.5751158441392,0.10474209121091659,0.012649550557286417,0.02514332793400093,0.012649548872569806
-3.0,32,x,-1143.0691711144354,436.12553751680963,673092983989.0665,435.0704156236119,0.01154813450368678,0.00395796544042527,-0.00462865024103845,0.004265600485795469
-3.0,32,y,-85155.84837795777,27061.20919861938,673095497608.8513,27061.2061176548,13.14117350345371,14.403379937802212,-9.640518378701199,14.403377925321255
-3.0,33,x,-2473.9277486538235,13090.744283451339,693791734739.9673,9580.186613597067,-0.0018044873790001275,0.2626840694615728,0.11720637433908229,0.22864522269261042
-3.0,33,y,-1647.200332823127,724.1606320813678,693794187830.4052,724.161140660055,-0.02868176367532082,0.010830825590918062,0.002223751765587343,0.01083082149627333
-3.0,34,x,-15894.60540878206,992.0214896074567,714490394617.7347,992.0215097506401,-0.12754794558336513,0.015311049561053131,0.16619136579394553,0.015311049646251077
